,8_2.5d_total,8_6d_total,8_7d_total,8_16d_total,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,8C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,ES_sc
Abcb4,0.256085,0.164585,0.0604705,0.212847,2.7258177000000003,5.65827,0.65846086,0.45357457,0.0,0.5110645,0.77286905,0.31917053,0.2720455999999999,0.12062712,0.33790508
Abcb8,12.66315,11.99983,13.65465,5.0907800000000005,67.73456999999999,91.15038,30.411240000000003,15.012355,5.396785,4.8021975,18.96947,120.66478,66.93809,41.801743,18.171974
Abcc4,9.27723,4.474655,7.590414999999998,2.780695,8.844225,4.924251,0.27163467,1.8363689,2.4985445,4.5776105000000005,2.490202,23.888279,5.6789904,14.474199,9.132699
Abcf1,51.077200000000005,55.49815,57.07745,57.58410000000001,144.50204,84.07038,199.65031,311.86456,780.3078,528.41797,463.49857,419.11224,311.2109,303.79196,110.834785
Abcf2,44.40295,45.0866,45.932355,36.14035,222.49739,339.41544,564.0266,494.99152,788.2339,573.0468,654.2004,357.01288,384.38785,283.94333,211.7292
Abcf3,12.95685,12.14349,16.08815,9.383835,279.70325,360.98434,75.20858,117.662315,112.342545,145.18526,161.68542,166.2589,157.07718,102.42079,34.225132
Abhd10,12.85956,9.5224915,8.200508,4.908985,4.518262,5.513429599999999,2.0975916,4.545575599999999,4.028645,8.693793,5.9190984,11.363752,14.879749,45.136578,17.991253
Abhd11,28.32296,23.274500000000003,19.928815000000004,25.46148,117.7646,68.02467,15.333255,6.367030000000001,26.224033,94.0698,126.45981,185.62794,151.36568,186.75247,68.5275
Abhd12,22.668700000000005,21.4527,31.57385,36.51745,96.8719,88.53694,47.9026,45.652264,21.319704,9.422821,8.55258,58.655323,58.901030000000006,67.04751,37.227104
Abhd13,4.797939999999999,6.7017625,7.741174999999998,3.3063800000000008,289.18842,204.92052,62.365612,46.647438,84.37943,34.10824,44.93888,23.280348,25.919456,42.260014,4.414123
Abhd14b,1.6216400000000002,0.0,0.619429,0.976425,0.15634167,0.0,2.6675398,0.1287846,0.0765411,1.5957546,1.5108336000000002,10.406107,11.095368,100.458115,3.7030354
Abhd16a,4.99158,10.475885,12.7134,8.17057,159.96452,39.776943,24.848963,7.302619,12.908769,10.638678,8.685019500000001,37.125607,17.272326,34.403929999999995,15.8593445
Abhd3,3.4452800000000003,1.711725,2.671005,3.056695,2.8368437,1.168093,4.938242400000001,1.8106064,7.79775,23.0723,15.537314000000002,0.41269413,7.46253,1.45507,0.0
Abhd4,36.267,27.6761,30.32445,28.3276,355.6608,478.3130000000001,218.41026,79.02455,8.654591,26.564770000000003,27.421741,77.11823000000001,77.8994,105.58443,19.807371
Abhd6,6.180060000000001,8.13595,8.426085,12.406725,50.78676,41.98637,308.9946,471.52603,290.72018,99.87312,130.97249,8.0916815,24.78958,7.575539599999999,7.5055466
Abi1,16.503915,26.672795,19.0361,33.801875,347.42065,477.03256,274.28757,108.49507,218.9235,120.37118,97.32634,115.55581,138.28706,127.29043,20.174406
Abi2,11.18745,8.302515,7.86012,10.5261,11.50384,12.199844,39.054546,20.832174,6.826594,24.622763,18.82295,16.727543,42.531467,15.480648,8.410332
Abi3bp,0.121929,0.1064963,0.1901614999999999,0.26464785,18.16059,17.068861,19.07675,9.1654215,7.333360000000001,1.1789247,0.56218183,1.6823593,1.0132562,2.064987,0.2131939
Abl2,5.030775,5.913504999999999,6.267855,7.22437,1407.0514,1571.99,1170.0483,686.60974,240.27425,55.94934,65.09995,57.894253000000006,54.34183,103.60044,1.4472473
Ablim2,0.389047,0.2971399999999999,0.3072235,0.6251615,43.301342,30.982122,22.314005,13.565389,0.008755854,2.194372,0.2740599,18.115011,7.3952246,17.804369,0.9513284
Ablim3,0.04570815,0.132046,0.1118895,0.0825,7.829080999999999,16.386448,10.189762,3.7867477,0.009947071,0.003435253,0.001778429,0.0068221259999999,0.0028103015,0.006558523,0.0
Abo,0.22337455,0.15938,0.076397,0.0726324,0.0,0.0,0.8634358,2.4587462,0.0,2.7639203,0.0,1.3448901000000002,7.2911177,1.0036243,0.0
Acaa1a,21.2805,20.44585,30.1487,5.2867,0.060869925,0.7425626000000001,1.877802,4.52137,1.3333133,9.065553,8.607345,33.277084,27.586065,33.963516,87.64076999999999
Acaa2,15.5904,24.78295,40.863150000000005,25.4602,0.0,0.34415072,0.018466258,0.3893885,0.4774594,34.44187,47.907593,542.1807,342.3416,373.33087,107.81106
Acadm,41.8429,29.7316,33.59075,33.7217,32.902390000000004,16.956482,17.518309,20.553036,207.59518,407.17114,386.778,397.13898,341.1873,358.65936,140.18542
Acads,36.5685,21.2744,21.559,30.8043,0.0,0.0,0.024343943,2.054029,17.590432999999997,25.00738,26.225115,30.749853,12.907288,15.426085999999998,82.19126
Acap2,10.67375,10.25283,11.2867,15.00315,56.021008,40.215504,15.897769,9.348982,4.7368937,9.490945,7.6627545,22.66469,30.027102000000003,14.769329,4.7148194000000005
Acat1,1.144105,5.31567,3.1448099999999988,1.62291,510.4173,657.2615400000001,375.64148,253.35701,83.95830500000001,120.12859,84.86336,116.41048,148.45119,134.15016,12.02674
Acbd3,10.004,14.794735,17.84685,37.76235,465.03473,474.94272,95.11657,83.45978000000001,94.375046,80.69811,65.999146,60.45551999999999,46.549942,65.60178,3.7313502
Acbd5,3.727705,3.308445,4.840335,0.0,138.811,220.98837000000003,286.98187,209.74268,146.67233000000002,51.893646,74.82435,34.040646,57.196083,29.369865,8.159459
Acbd7,0.5929495,0.873907,1.1919235,2.078145,16.594416,10.785086,24.003126,2.1755056,0.02177179,2.129295,1.9330858,2.2569435,0.9986689,2.5161784,7.804867
Accsl,0.5389865,0.317247,0.15333,0.12165445,4362.052,4798.7344,1376.7062,543.24036,59.910088,2.7827466,298.37927,8.434316,0.0043585645,0.016060239,37.649826
Acd,35.9794,50.2581,51.61065,31.3507,321.19003,363.13928,275.04666000000003,165.52776,51.69762,73.077446,63.635128,127.75241,112.99708,72.01241,45.967518
Acly,151.51530000000002,83.9075,60.38105,72.33420000000001,118.411194,186.68968,132.59886,126.31343,73.45135,240.61018,291.4002,201.73776,314.5795,204.40811,164.88701
Aco1,9.694235,8.914010000000001,7.381730000000001,20.4391,62.099792,88.47081999999999,61.66208,24.536747,39.041294,51.999573,81.363846,307.64423,162.3962,176.41307,21.104488
Aco2,145.914,108.3815,116.519,145.2335,74.58095,206.0791,157.16743,59.8065,58.544384,358.06354,289.65817000000004,742.9486,669.82324,580.25653,166.16446000000002
Acot7,70.09615,27.9061,21.684535,17.841450000000002,37.3685,21.03344,75.871315,42.268578000000005,60.857580000000006,137.4662,123.474686,33.89783,88.729164,21.398094,111.48544
Acox3,3.4130065,2.3970165,2.5870585000000004,1.831545,186.2537,117.97378,35.898518,4.2270080000000005,0.0448210459999999,2.2953358,0.043681547,6.7312460000000005,4.1597567,13.480899,2.4437299
Acoxl,0.063023,0.07310625,0.0274384,0.0,0.18169881,1.8782171000000003,0.8929476999999999,0.7169488,3.2707808,2.0934558,0.09598711,2.1433437,0.032611623,0.0025197447,0.52567905
Acp1,19.64982,16.315615,15.132675,20.23938,32.217587,26.698599,1.6018753,5.9700055,25.809103,64.25636,87.29053,151.946,185.97043,152.25848,104.44894
Acpp,0.232701,0.638506,0.6542699999999999,0.82688,110.8351,110.35346,73.2195,28.913754,35.70262,45.38239,71.00054,21.121181,12.472075,99.67301,0.72351813
