,8_sc,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,D.EPSCs_sc,L.EPSCs_sc,TBLC_sc,ES_sc,2CLC_ref1
Daam1,17.353695000000002,702.5918,827.95087,587.434,352.69336,49.048313,21.639082,59.695004,51.316544,40.996605,6.9198885,10.2383995,13.598973999999998,3.1508102000000004,0.0
Dab1,3.7166967,61.74969,49.383312,27.751394,22.556004,8.181057000000001,1.4481118999999998,0.09758194,0.06097035,0.0409695729999999,33.205254,30.384186,6.5862565,4.1259627,0.699367
Dact3,32.485455,35.54449,11.966957,17.364128,14.5346775,9.094595,0.21018806,1.197509,1.0554316,0.3626054,3.5688398,1.9113265,5.898589599999999,2.2758436,8.259210000000001
Dazl,262.3599,1962.1062,2354.6084,766.0186,133.20303,65.87778,78.15122,7.931138499999999,3.0487547000000004,5.693331,23.888414,204.12141,105.818245,2.0700169,5.84198
Dbndd1,1.0528271,94.31901,86.44289,39.452297,20.597364,7.164138,0.7121719,0.29863453,0.00790799,0.0240261129999999,0.5625146,0.33012795,0.31137216,0.0,0.0
Dcbld2,18.046755,167.51677,99.95074,59.64679,39.102425,17.019964,30.581352000000003,19.90104,43.094190000000005,11.650302,8.177883,6.680774,14.734287,2.2819724,3.91082
Dclk2,4.5757866,851.2613,678.1642,211.28082,93.13252,3.36437,1.0603049,10.857696,4.1854854,11.888495,20.633535,30.648457,2.0646026,4.2789645,0.608889
Dclk3,0.20744814,3.7585964,7.0126615,4.108025,0.0,0.0,0.0,0.016647363,0.0,0.0044052782,1.1235881,0.0858993999999999,0.37899536,3.409345,0.0660715
Dclre1a,5.235971,164.21086,41.996105,11.309631,9.6919565,13.119477,28.062605,64.92002,30.283632,17.38045,12.499446,9.561492,7.363832,8.580873500000001,4.88001
Dcun1d4,6.7248826,56.61255,84.7153,19.329735,9.296188,6.5466275000000005,5.5274587,8.067114,11.871382,5.8763604,23.718554,14.903496,8.365069,10.403338,6.857465
Ddhd1,45.940575,241.43768,345.83554,222.2364,79.06719,50.845264,47.170197,15.423432,28.475111,31.776966,3.9162135,5.3135476,22.150486,0.44747323,3.3066500000000003
Ddx58,11.868256,13.83528,25.113228,9.737181,3.8889937,0.57477087,0.0825825,1.7578692,0.37380835,14.862252,34.493565000000004,36.016396,11.821329,13.888405,5.92328
Derl3,2.0393772,90.144005,64.07653,41.551632,41.201202,14.238988,13.196712,1.3077348,11.071629,1.0935854,22.103237,31.647818,3.5610862,5.1776247,5.832089999999999
Dhrs3,27.180786,7.202711999999999,17.052916,1.5668753,0.39966682,0.0,0.012674863,9.885011,1.2741481,4.1018877,21.792372,47.315144,2.7763095,2.5601974,0.224371
Dhrs4,25.439054,1.6429071,0.12173262,0.5466284,0.079603456,0.0,0.036641452,41.817665000000005,23.085436,12.782491,38.28474,58.029037,12.292921,41.830776,12.2923
Diras2,0.18400499,136.30223,158.06126,21.080896,2.5418642000000005,3.7385216,0.006094584,0.5592594,0.0,2.512278,0.17640072,1.2894589,0.17454542,0.0,0.3140219999999999
Dkk3,2.3839360000000003,18.205748,5.508709,4.368977,3.262497,0.08380747,0.0,0.036052447,0.0,0.29309833,7.0673520000000005,3.5814168,0.90826195,1.5772667,0.985442
